
#InteractionArea; Distance; Width; OffsetX; OffsetY
#dialogueFile; actorData/dictionary/dialogueFile
#transition; fromStatus; toStatus
#tags; ActorTag ...

#sensorStatus;sensorStatusName										;interactionSpriteTrigger ;interactionSpriteStatus	;interactionSensorTrigger;interactionSensorStatus;inRangeSpriteTrigger;inRangeSpriteStatus	;inRangeSensorTrigger	;inRangeSensorStatus;intersectionSpriteTrigger;intersectionSpriteStatus		;intersectionSensorTrigger;intersectionSensorStatus;updateSpriteTrigger;updateSpriteStatus;updateSensorTrigger;updateSensorStatus;monitorSpriteTrigger;monitorSensorTrigger;textboxSpriteTrigger;textboxSensorTrigger
sensorStatus	;default																			;textbox																		;none  	 																;none 								;none 								;none								;none										;none 								;none 								;none													;none														;none 								;none 								;none							;none										;none 								;none 									;none					;none 								;none;none

dialogueFile; actorData/character/technician/technician
tags; persistent
#personality;myersBriggsPersonality;initCooperation;trait;traitsThresholds;...
personality	;consul																;000												;FROM_EARTH;105	;POOR; 110

#status to image
#status 																;name   				;spritename  																								;blocker	;heightLayer		;fps	;totalFrames		;cols;rows;frameWidth	;frameHeight	;hitboxOffsetX	;hitboxOffsetY ;hitBoxWidth ;hitBoxHeight ;lightning ;duration ;velocity ;dialogueID ;AnimationEnds
default-NORTH											;technician	;../actorData/character/orange_north	;true				;1												;0			;0												;0			;0			;0										;0											;10												;84												;44										;44											;whitelight_256;0        ;300						;init-door						;false
default-NORTH-MOVING				;technician	;person/concept128_Back_orange_Anim8	;true				;1												;10		;6												;6			;1			;64									;128									;10												;84												;44										;44											;whitelight_256;0        ;300						;init-door						;false
default-SOUTH											;technician	;person/orangeFront_64_128											;true				;1												;0			;0												;0			;0			;0										;0											;10												;84												;44										;44											;whitelight_256;0        ;300						;init-door						;false
#default-SOUTH-MOVING			;technician	;person/concept128_1.2														;true				;1												;10		;8												;8			;1			;64									;128									;10												;84												;44										;44											;whitelight_256;0        ;300						;init-door						;false
default-SOUTH-MOVING				;technician	;person/orangeFront_64_128_a8								;true				;1												;10		;8												;8			;1			;64									;128									;10												;84												;44										;44											;whitelight_256;0        ;300						;init-door						;false
default-EAST												;technician	;person/humanAlexEast																;true				;1												;0			;0												;0			;0			;0										;0											;10												;84												;44										;44											;whitelight_256;0        ;300						;init-door						;false
default-EAST-MOVING					;technician	;person/orangeEastAnim_8													;true				;1												;10		;8												;8			;1			;64									;128									;10												;84												;44										;44											;whitelight_256;0        ;300						;init-door						;false
default-WEST												;technician	;person/orangeWestStand_64_128							;true				;1												;0			;0												;0			;0			;0										;0											;10												;84												;44										;44											;whitelight_256;0        ;300						;init-door						;false
default-WEST-MOVING					;technician	;person/orangeWestAnim_8													;true				;1												;10		;8												;8			;1			;64									;128									;10												;84												;44										;44											;whitelight_256;0        ;300						;init-door						;false

intro-SOUTH													;technician	;person/orangeFront_64_128											;true				;1												;0			;0												;0			;0			;0										;0											;10												;84												;44										;44											;whitelight_256;0        ;300						;intro						;false
