
#https://de.wikipedia.org/wiki/Myers-Briggs-Typenindikator
#Motivation/Antrieb;Innen/Außenorientiert; Tiefe/Weite;Selbst/Gemeinschaft
#Aufmerksamkeit				;Intuition/Sensorik; detail/holistic
#Entscheidung						;Thinking/feeling	;logik/emotion
#Lebensstil								;wahrnehmung/Beurteilung; Progresive/conservative

#Myers Briggs; What topic do you want to bring up
XXXXXXXXXXXXXXXXXX								;INTROVERSION;EXTROVERSION;SENSING;INTUITION;THINKING;FEELING;JUDGING;PERCEIVING;
#basics
personal daily life 						;001									;000									;000				;000						;000					;000				;000				;000
society and gossip								;000									;001									;000				;000						;000					;000				;000				;000
obserervations												;000									;000									;001				;000						;000					;000				;000				;000
station news														;000									;000									;000				;001						;000					;000				;000				;000
scientific study										;000									;000									;000				;000						;001					;000				;000				;000
feelings of the people				;000									;000									;000				;000						;000					;001				;000				;000
good old earth												;000									;000									;000				;000						;000					;000				;001				;000
new trends																;000									;000									;000				;000						;000					;000				;000				;001

#advanced
coerce																				;001						;000														;000										;001									;000			;001					;-05									;000
