#Testlevel

#Red Green Blue ;the higher the brighter ;>none< leads to no shadow
shadow:
#0;30;30
none

spawnpoints:
#ID						;PosX;PosY	;Direction
default		;20		;20			;south
elevator	;31		;34			;south
bed						;29		;31			;west


tiledefinition:
#Floor
#code     ;name        ;spritename                  ;blocker		;heightLayer	;fps ;totalFrames  ;cols ;rows ;frameWidth ;frameHeight ;hitboxOffsetX ;hitboxOffsetY ;hitBoxWidth ;hitBoxHeight ;lightning
space0    ;space							;floor/space/s0 													;false				;0											;0			;0												;0				;0				;0										;0											;0													;0														;0										;0												;none
space1    ;space							;floor/space/s1 													;false				;0											;0			;0												;0				;0				;0										;0											;0													;0														;0										;0												;none
space2    ;space							;floor/space/s2 													;false				;0											;0			;0												;0				;0				;0										;0											;0													;0														;0										;0												;none
space3    ;space							;floor/space/s3 													;false				;0											;0			;0												;0				;0				;0										;0											;0													;0														;0										;0												;none
spaceC    ;space							;floor/space/s_ceres									;false				;0											;0			;0												;0				;0				;0										;0											;0													;0														;0										;0												;none


#Walls
#code     ;name        					;spritename                     																																			;blocker		;heightLayer		;fps ;totalFrames  ;cols ;rows ;frameWidth ;frameHeight ;hitboxOffsetX ;hitboxOffsetY ;hitBoxWidth ;hitBoxHeight ;lightning
#transporter
#TRf__0				;transportFloor			;walls/transporterhull/floor_0									 																											;false				;0												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none
TRf__0				;transportFloor			;walls/transporterhull/greyFloor_1					 																											;false				;0												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none
GFf__0				;greyFloor								;floor/greyFloor																							 																											;false				;0												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none
TRhs_0				;transportHull				;walls/transporterhull/hull_s_0							  																											;true					;1												;0			;0												;0				;0				;0										;0											;000											;064											;064									;064										;none
TRws_0				;transportwall				;walls/transporterhull/wall_0								   																											;true					;1												;0			;0												;0				;0				;0										;0											;000											;064											;064									;064										;none
TRws_D				;transportwall				;walls/transporterhull/wall_0								   																											;true					;1												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none
TRhe_0				;transportHull				;walls/transporterhull/hull_e																																						;true					;1												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none
TRhw_0				;transportHull				;walls/transporterhull/hull_w																																						;true					;1												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none
TRhsw0				;transportHull				;walls/transporterhull/inner_sw_0						 																											;true					;1												;0			;0												;0				;0				;0										;0											;000											;064											;064									;064										;none
TRhse0				;transportHull				;walls/transporterhull/inner_se_0						 																											;true					;1												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none
TRwsw0				;transportwall				;walls/transporterhull/outer_sw							  																											;true					;1												;0			;0												;0				;0				;0										;0											;000											;028											;064									;100										;none
TRwnw0				;transportHull				;walls/transporterhull/inner_nw_0						 																											;true					;1												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none
TRwne0				;transportHull				;walls/transporterhull/inner_ne_0						 																											;true					;1												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none
Wv_noB				;transportwall				;walls/thin_wall_w							  																																								;false				;2												;0			;0												;0				;0				;0										;0											;000											;000											;020									;064										;none
Wv____				;transportwall				;walls/thin_wall_w							  																																								;true					;2												;0			;0												;0				;0				;0										;0											;000											;000											;020									;064										;none
fr_ne0				;transportHull				;walls/transporterhull/outer_ne						    																										;true					;1												;0			;0												;0				;0				;0										;0											;000											;064											;064									;064										;none
fr_nw0				;transportHull				;walls/transporterhull/outer_nw					     																										;true					;1												;0			;0												;0				;0				;0										;0											;000											;064											;064									;064										;none


#Floor
CR___0				;transportfloor			;transporter/floor/crew_0																																										;false					;0												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none
CR___1				;transportfloor			;transporter/floor/crew_1																																										;false					;0												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none
CR___2				;transportfloor			;transporter/floor/crew_2																																										;false					;0												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none
CR___3				;transportfloor			;transporter/floor/crew_3																																										;false					;0												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none

#life support
tank_A				;tank													;machines/lifesupport/tank_192_128_a4																														;true					;1 											;2   ;4            ;4    ;1    ;192        ;128         ;000           ;064           ;192         ;054										;greenlight256
incuba				;incubator								;../actorData/system_science/incubator/incubator																			;true					;1 											;000  ;000         ;000  ;000  ;000        ;000         ;020           ;064           ;088         ;040										;greenlight256

#code     ;name        					;spritename                     																																			;blocker		;heightLayer		;fps ;totalFrames  ;cols ;rows ;frameWidth ;frameHeight ;hitboxOffsetX ;hitboxOffsetY ;hitBoxWidth ;hitBoxHeight ;lightning
elev__				;elevator									;../actorData/doors/updown/elevator/base_3x2																							;false				;0												;0			;0												;0				;0				;0										;0											;000									 	;000									 	;000									;000										;none
bed_Ho				;bed														;../actorData/furniture/bed/bedmodule_hoffer																							;true					;1 											;0   ;0            ;0    ;0    ;000        ;000         ;000           ;128           ;192         ;064										;none
bed_Hu				;bed														;../actorData/furniture/bed/bedmodule_husar																								;true					;1 											;0   ;0            ;0    ;0    ;000        ;000         ;000           ;128           ;192         ;064										;none
bed_Wi				;bed														;../actorData/furniture/bed/bedmodule_winkler																						;true					;1 											;0   ;0            ;0    ;0    ;000        ;000         ;000           ;128           ;192         ;064										;none
bed_pe				;bed														;../actorData/furniture/bed/bed_peters_192_192																					;true					;1 											;0   ;0            ;0    ;0    ;000        ;000         ;000           ;128           ;192         ;064										;none
bed_si				;bed														;../actorData/furniture/bed/bed_sinns_192_192																						;true					;1 											;0   ;0            ;0    ;0    ;000        ;000         ;000           ;128           ;192         ;064										;none
bed_wa				;bed														;../actorData/furniture/bed/bed_waschak_192_192																				;true					;1 											;0   ;0            ;0    ;0    ;000        ;000         ;000           ;128           ;192         ;064										;none
table_				;table												;furniture/table/crewroom																																										;true					;1 											;0   ;0            ;0    ;0    ;000        ;000         ;000           ;000           ;000         ;000										;none
sink__				;sink													;bath/sink																																																									;true					;1 											;0   ;0            ;0    ;0    ;000        ;000         ;000           ;032           ;064         ;064										;none
wcCabn				;wcCabn											;bath/wccabin																																																						;true					;1 											;0   ;0            ;0    ;0    ;000        ;000         ;000           ;128           ;192         ;100										;none
shelf_				;shelf_											;furniture/storage/shelf																																											;true					;1												;0			;0												;0				;0				;000								;000									;000											;064											;128									;064										;none
swap__				;swap mop									;bath/swap_mop																																																					;true					;1												;0			;0												;0				;0				;000								;000									;020											;064											;044									;064										;none
towel_				;towel												;bath/bathtowel																																																				;true					;1												;0			;0												;0				;0				;000								;000									;000											;064											;064									;064										;none
bench_				;bench												;furniture/bench																																																			;true					;1												;0			;0												;0				;0				;000								;000									;000											;064											;128									;040										;none

actors:
#code 					;actorFileName																											;IngameName															;sprite-status						;sensor-status										;direction
player					;player																																		;Revolutionary												;default												;default																;north
techni					;character/technician/technician									;technician															;intro														;default																;south

elevSc					;doors/updown/elevator/elevator										;main elevator												;toFreightDeck						;default																;undefined
autoDo					;doors/vertical/autoBulkheadVertical					;bulkhead																	;on																	;default																;west
doorHo					;doors/horizontal/automatedDoor										;bulkhead																	;on																	;default																;south
cleanB					;robot/cleaningBot/cleaningBot											;technician															;default												;default																;west
steamS					;bath/steam_shower/steam_shower										;shower																			;off																;default																;undefined
bed_Bi					;furniture/bed/bed																							;Your Bed																	;bischoff											;sleep																		;undefined

smileV					;system_vendor/smile/smile															;Smile vendor													;default												;inventory														;undefined
asiaBe					;collectibles/food/food																		;Asia Star Bento										;asiastar											;default																;undefined

position:
asiaBe ;1820 ;1070; one the table

#sets 64 bits tiles as raster ;you can add multiple layers ;later defined layers are higher prioritized in case of same defined heightLayer
#passivlayer will not be checked for interaction or collision
passivlayer:
#			;001			 ;002				;003				;004				;005				;006				;007				;008				;009				;010				;011				;012				;013				;014				;015				;016				;017				;018				;019				;020				;021				;022				;023				;024				;025				;026				;027				;028				;029				;030				;031				;032    ;033    ;034    ;035    ;036    ;037    ;038    ;039    ;040			;
001 ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______;
002 ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______;
003 ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______;
004 ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______;
005 ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______;
006 ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______;
007 ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______;
008 ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;GFf__0 ;GFf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;______ ;______;
009 ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;GFf__0 ;GFf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;TRf__0 ;______ ;______;
010 ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;______ ;______;
011 ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;______ ;______;
012 ;______ ;space0 ;__xx__ ;__xx__ ;__xx__ ;space1 ;__xx__ ;__xx__ ;__xx__ ;space2 ;__xx__ ;__xx__ ;__xx__ ;space3 ;__xx__ ;__xx__ ;__xx__ ;spaceC ;__xx__ ;__xx__ ;__xx__ ;space1 ;__xx__ ;__xx__ ;__xx__ ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;______ ;______;
013 ;______ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;______ ;______;
014 ;______ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;______ ;______;
015 ;______ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;GFf__0 ;______ ;______;
016 ;______ ;space1 ;__xx__ ;__xx__ ;__xx__ ;space2 ;__xx__ ;__xx__ ;__xx__ ;space3 ;__xx__ ;__xx__ ;__xx__ ;space1 ;__xx__ ;__xx__ ;__xx__ ;space1 ;__xx__ ;__xx__ ;__xx__ ;space2 ;__xx__ ;__xx__ ;__xx__ ;GFf__0 ;GFf__0 ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______;
017 ;______ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;GFf__0 ;GFf__0 ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______;
018 ;______ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;GFf__0 ;GFf__0 ;CR___3 ;CR___0 ;CR___1 ;CR___0 ;CR___1 ;CR___0 ;CR___1 ;CR___0 ;CR___1 ;CR___0 ;CR___1 ;______ ;______;
019 ;______ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;__xx__ ;GFf__0 ;GFf__0 ;______ ;CR___2 ;CR___3 ;CR___2 ;CR___3 ;CR___2 ;CR___3 ;CR___2 ;CR___3 ;CR___2 ;CR___3 ;______ ;______;
