#Testlevel

#Red Green Blue ;the higher the brighter ;>none< leads to no shadow
shadow:
#0;30;30
none

spawnpoints:
#ID						;PosX;PosY	;Direction
exit					;07		;28			;east
default		;25		;23			;north
elevator	;31		;34			;south

tiledefinition:
#File name convention: inner if wall around player + direction ;outer if player can go around wall + direction of corner
#Naming: FChs_0  ShortName-[wall-hull-roof-floor]-[direction]-[number]
#layer: 0 => behind ;1 => middle ;2 => in front
#Floor
#code     ;name        ;spritename                  ;blocker		;heightLayer		;fps ;totalFrames  ;cols ;rows ;frameWidth ;frameHeight ;hitboxOffsetX ;hitboxOffsetY ;hitBoxWidth ;hitBoxHeight ;lightning
space0    ;space							;floor/space/s0 													;false				;0											;0			;0												;0				;0				;0										;0											;0													;0														;0										;0												;none
space1    ;space							;floor/space/s1 													;false				;0											;0			;0												;0				;0				;0										;0											;0													;0														;0										;0												;none
space2    ;space							;floor/space/s2 													;false				;0											;0			;0												;0				;0				;0										;0											;0													;0														;0										;0												;none
space3    ;space							;floor/space/s3 													;false				;0											;0			;0												;0				;0				;0										;0											;0													;0														;0										;0												;none
spaceC    ;space							;floor/space/s_ceres									;false				;0											;0			;0												;0				;0				;0										;0											;0													;0														;0										;0												;none
concr0    ;metal							;floor/plainM1_64_64									;false				;0											;0			;0												;0				;0				;0										;0											;0													;0														;0										;0												;none

#Walls
#code     ;name        					;spritename                     																																			;blocker		;heightLayer		;fps ;totalFrames  ;cols ;rows ;frameWidth ;frameHeight ;hitboxOffsetX ;hitboxOffsetY ;hitBoxWidth ;hitBoxHeight ;lightning
#spaceway
frt__s				;spaceway wall				;walls/spaceway/wall																																															;true					;0												;0			;0												;0				;0				;0										;0											;0													;0													;0											;0												;none
bck_h0				;hull													;walls/spaceway/SW_hull_s_cut																																						;true					;1												;0			;0												;0				;0				;0										;0											;000											;034											;064									;094										;none
bck_h1				;hull													;walls/spaceway/SW_hull_s												 																													;true					;1												;0			;0												;0				;0				;0										;0											;000											;034											;064									;094										;none
SWhs_w				;hull													;walls/spaceway/SW_hull_s_window						 																												;true					;1												;0			;0												;0				;0				;0										;0											;000											;034											;064									;094										;none
